-0.01227 -0.03313 -0.05150 -0.06823 -0.08392 -0.09893 -0.11347 -0.12752 -0.14088 -0.15311 -0.16361 -0.17152 -0.17584 -0.17538 -0.16886 -0.15488 -0.13187 -0.09790 -0.05029 0.01504 0.10421 0.22581 0.38979 0.60336 0.86236 -0.01227 -0.03313 -0.05150 -0.06823 -0.08392 -0.09893 -0.11347 -0.12752 -0.14088 -0.15311 -0.16361 -0.17152 -0.17584 -0.17538 -0.16886 -0.15488 -0.13187 -0.09790 -0.05029 0.01504 0.10421 0.22581 0.38979 0.60336 0.86236 
-0.01285 -0.03454 -0.05355 -0.07085 -0.08711 -0.10279 -0.11811 -0.13308 -0.14749 -0.16088 -0.17253 -0.18147 -0.18649 -0.18617 -0.17895 -0.16315 -0.13696 -0.09834 -0.04472 0.02753 0.12357 0.25037 0.41555 0.62378 0.86997 -0.01285 -0.03454 -0.05355 -0.07085 -0.08711 -0.10279 -0.11811 -0.13308 -0.14749 -0.16088 -0.17253 -0.18147 -0.18649 -0.18617 -0.17895 -0.16315 -0.13696 -0.09834 -0.04472 0.02753 0.12357 0.25037 0.41555 0.62378 0.86997 
-0.01299 -0.03485 -0.05399 -0.07143 -0.08792 -0.10395 -0.11979 -0.13547 -0.15080 -0.16528 -0.17816 -0.18833 -0.19443 -0.19479 -0.18758 -0.17082 -0.14246 -0.10031 -0.04187 0.03602 0.13764 0.26853 0.43443 0.63824 0.87478 -0.01299 -0.03485 -0.05399 -0.07143 -0.08792 -0.10395 -0.11979 -0.13547 -0.15080 -0.16528 -0.17816 -0.18833 -0.19443 -0.19479 -0.18758 -0.17082 -0.14246 -0.10031 -0.04187 0.03602 0.13764 0.26853 0.43443 0.63824 0.87478 
-0.01268 -0.03402 -0.05275 -0.06990 -0.08623 -0.10226 -0.11830 -0.13443 -0.15046 -0.16593 -0.18004 -0.19161 -0.19915 -0.20080 -0.19445 -0.17780 -0.14853 -0.10424 -0.04246 0.03966 0.14559 0.27966 0.44611 0.64670 0.87682 -0.01268 -0.03402 -0.05275 -0.06990 -0.08623 -0.10226 -0.11830 -0.13443 -0.15046 -0.16593 -0.18004 -0.19161 -0.19915 -0.20080 -0.19445 -0.17780 -0.14853 -0.10424 -0.04246 0.03966 0.14559 0.27966 0.44611 0.64670 0.87682 
-0.01191 -0.03206 -0.04986 -0.06628 -0.08205 -0.09771 -0.11359 -0.12981 -0.14625 -0.16247 -0.17770 -0.19075 -0.20004 -0.20356 -0.19897 -0.18369 -0.15504 -0.11034 -0.04699 0.03767 0.14652 0.28294 0.45002 0.64887 0.87600 -0.01191 -0.03206 -0.04986 -0.06628 -0.08205 -0.09771 -0.11359 -0.12981 -0.14625 -0.16247 -0.17770 -0.19075 -0.20004 -0.20356 -0.19897 -0.18369 -0.15504 -0.11034 -0.04699 0.03767 0.14652 0.28294 0.45002 0.64887 0.87600 
-0.01071 -0.02907 -0.04546 -0.06072 -0.07554 -0.09041 -0.10571 -0.12161 -0.13803 -0.15464 -0.17073 -0.18516 -0.19636 -0.20224 -0.20031 -0.18772 -0.16143 -0.11839 -0.05568 0.02944 0.13954 0.27735 0.44525 0.64414 0.87209 -0.01071 -0.02907 -0.04546 -0.06072 -0.07554 -0.09041 -0.10571 -0.12161 -0.13803 -0.15464 -0.17073 -0.18516 -0.19636 -0.20224 -0.20031 -0.18772 -0.16143 -0.11839 -0.05568 0.02944 0.13954 0.27735 0.44525 0.64414 0.87209 
-0.00917 -0.02524 -0.03980 -0.05353 -0.06700 -0.08068 -0.09494 -0.11001 -0.12590 -0.14237 -0.15886 -0.17435 -0.18736 -0.19586 -0.19731 -0.18868 -0.16662 -0.12762 -0.06826 0.01462 0.12376 0.26171 0.43058 0.63156 0.86463 -0.00917 -0.02524 -0.03980 -0.05353 -0.06700 -0.08068 -0.09494 -0.11001 -0.12590 -0.14237 -0.15886 -0.17435 -0.18736 -0.19586 -0.19731 -0.18868 -0.16662 -0.12762 -0.06826 0.01462 0.12376 0.26171 0.43058 0.63156 0.86463 
-0.00740 -0.02080 -0.03324 -0.04513 -0.05691 -0.06899 -0.08175 -0.09545 -0.11019 -0.12588 -0.14209 -0.15803 -0.17242 -0.18342 -0.18860 -0.18492 -0.16884 -0.13644 -0.08364 -0.00648 0.09860 0.23464 0.40429 0.60959 0.85286 -0.00740 -0.02080 -0.03324 -0.04513 -0.05691 -0.06899 -0.08175 -0.09545 -0.11019 -0.12588 -0.14209 -0.15803 -0.17242 -0.18342 -0.18860 -0.18492 -0.16884 -0.13644 -0.08364 -0.00648 0.09860 0.23464 0.40429 0.60959 0.85286 
-0.00552 -0.01611 -0.02623 -0.03606 -0.04587 -0.05603 -0.06686 -0.07866 -0.09163 -0.10577 -0.12086 -0.13636 -0.15130 -0.16416 -0.17282 -0.17449 -0.16566 -0.14220 -0.09942 -0.03230 0.06429 0.19490 0.36404 0.57578 0.83544 -0.00552 -0.01611 -0.02623 -0.03606 -0.04587 -0.05603 -0.06686 -0.07866 -0.09163 -0.10577 -0.12086 -0.13636 -0.15130 -0.16416 -0.17282 -0.17449 -0.16566 -0.14220 -0.09942 -0.03230 0.06429 0.19490 0.36404 0.57578 0.83544 
-0.00372 -0.01153 -0.01930 -0.02695 -0.03463 -0.04261 -0.05119 -0.06067 -0.07128 -0.08314 -0.09620 -0.11017 -0.12444 -0.13795 -0.14907 -0.15551 -0.15419 -0.14116 -0.11146 -0.05914 0.02288 0.14218 0.30708 0.52629 0.80998 -0.00372 -0.01153 -0.01930 -0.02695 -0.03463 -0.04261 -0.05119 -0.06067 -0.07128 -0.08314 -0.09620 -0.11017 -0.12444 -0.13795 -0.14907 -0.15551 -0.15419 -0.14116 -0.11146 -0.05914 0.02288 0.14218 0.30708 0.52629 0.80998 
