0.00166 -0.00166 -0.00512 -0.00866 -0.01223 -0.01581 -0.01935 -0.02284 -0.02626 -0.02961 -0.03286 -0.03603 -0.03908 -0.04203 -0.04485 -0.04753 -0.05006 -0.05241 -0.05457 -0.05651 -0.05821 -0.05967 -0.06084 -0.06174 -0.06234 -0.06264 -0.06266 -0.06242 -0.06194 -0.06127 -0.06047 -0.05959 -0.05874 -0.05799 -0.05744 -0.05718 -0.05729 -0.05779 -0.05862 -0.05955 -0.06011 -0.05936 -0.05566 -0.04624 -0.02667 0.00986 0.07304 0.17565 0.33220 0.55433 0.84084 0.98191 0.00000 
0.00207 -0.00207 -0.00623 -0.01041 -0.01456 -0.01866 -0.02271 -0.02667 -0.03056 -0.03435 -0.03805 -0.04164 -0.04511 -0.04847 -0.05168 -0.05475 -0.05763 -0.06033 -0.06280 -0.06503 -0.06698 -0.06864 -0.06997 -0.07097 -0.07161 -0.07190 -0.07183 -0.07142 -0.07069 -0.06970 -0.06847 -0.06709 -0.06563 -0.06416 -0.06279 -0.06156 -0.06054 -0.05971 -0.05894 -0.05794 -0.05613 -0.05243 -0.04506 -0.03113 -0.00614 0.03645 0.10559 0.21255 0.36922 0.58389 0.85297 0.97329 0.00000 
0.00248 -0.00248 -0.00738 -0.01219 -0.01693 -0.02157 -0.02612 -0.03056 -0.03491 -0.03915 -0.04328 -0.04729 -0.05119 -0.05495 -0.05857 -0.06201 -0.06527 -0.06831 -0.07111 -0.07363 -0.07584 -0.07771 -0.07920 -0.08030 -0.08098 -0.08123 -0.08104 -0.08043 -0.07942 -0.07803 -0.07632 -0.07435 -0.07217 -0.06988 -0.06754 -0.06519 -0.06288 -0.06053 -0.05799 -0.05490 -0.05057 -0.04386 -0.03286 -0.01462 0.01529 0.06308 0.13701 0.24694 0.40261 0.60977 0.86334 0.96605 0.00000 
0.00290 -0.00290 -0.00853 -0.01399 -0.01931 -0.02449 -0.02954 -0.03446 -0.03925 -0.04393 -0.04849 -0.05293 -0.05724 -0.06141 -0.06543 -0.06927 -0.07290 -0.07630 -0.07943 -0.08225 -0.08472 -0.08681 -0.08847 -0.08967 -0.09038 -0.09058 -0.09026 -0.08942 -0.08808 -0.08625 -0.08399 -0.08134 -0.07837 -0.07514 -0.07172 -0.06813 -0.06438 -0.06039 -0.05596 -0.05065 -0.04375 -0.03402 -0.01950 0.00279 0.03712 0.08939 0.16713 0.27897 0.43289 0.63267 0.87235 0.95985 0.00000 
0.00332 -0.00332 -0.00967 -0.01578 -0.02168 -0.02738 -0.03292 -0.03830 -0.04354 -0.04865 -0.05363 -0.05849 -0.06321 -0.06779 -0.07221 -0.07644 -0.08046 -0.08422 -0.08770 -0.09083 -0.09358 -0.09589 -0.09773 -0.09903 -0.09977 -0.09992 -0.09945 -0.09836 -0.09665 -0.09435 -0.09148 -0.08809 -0.08424 -0.07999 -0.07538 -0.07045 -0.06517 -0.05944 -0.05301 -0.04544 -0.03594 -0.02322 -0.00532 0.02072 0.05901 0.11511 0.19587 0.30883 0.46048 0.65315 0.88029 0.95445 0.00000 
0.00372 -0.00372 -0.01079 -0.01753 -0.02399 -0.03021 -0.03622 -0.04205 -0.04772 -0.05325 -0.05864 -0.06391 -0.06904 -0.07402 -0.07885 -0.08348 -0.08788 -0.09203 -0.09585 -0.09932 -0.10235 -0.10491 -0.10693 -0.10835 -0.10912 -0.10921 -0.10859 -0.10723 -0.10513 -0.10230 -0.09878 -0.09460 -0.08981 -0.08447 -0.07860 -0.07224 -0.06535 -0.05780 -0.04933 -0.03946 -0.02737 -0.01175 0.00938 0.03888 0.08073 0.14010 0.22323 0.33670 0.48577 0.67161 0.88736 0.94969 0.00000 
0.00412 -0.00412 -0.01187 -0.01921 -0.02621 -0.03292 -0.03939 -0.04565 -0.05174 -0.05767 -0.06346 -0.06913 -0.07466 -0.08005 -0.08528 -0.09032 -0.09512 -0.09965 -0.10385 -0.10765 -0.11100 -0.11382 -0.11603 -0.11758 -0.11840 -0.11844 -0.11765 -0.11601 -0.11351 -0.11014 -0.10593 -0.10091 -0.09513 -0.08863 -0.08145 -0.07360 -0.06504 -0.05562 -0.04508 -0.03290 -0.01826 0.00018 0.02436 0.05706 0.10208 0.16426 0.24924 0.36275 0.50903 0.68835 0.89371 0.94544 0.00000 
0.00449 -0.00450 -0.01290 -0.02082 -0.02833 -0.03550 -0.04240 -0.04906 -0.05554 -0.06186 -0.06804 -0.07410 -0.08002 -0.08582 -0.09145 -0.09690 -0.10211 -0.10704 -0.11163 -0.11579 -0.11947 -0.12256 -0.12500 -0.12670 -0.12758 -0.12757 -0.12663 -0.12471 -0.12179 -0.11786 -0.11294 -0.10705 -0.10024 -0.09255 -0.08400 -0.07462 -0.06435 -0.05304 -0.04041 -0.02595 -0.00879 0.01236 0.03942 0.07508 0.12295 0.18753 0.27393 0.38712 0.53050 0.70363 0.89946 0.94161 0.00000 
0.00485 -0.00485 -0.01386 -0.02231 -0.03030 -0.03790 -0.04520 -0.05224 -0.05909 -0.06578 -0.07233 -0.07875 -0.08507 -0.09126 -0.09730 -0.10316 -0.10879 -0.11414 -0.11912 -0.12367 -0.12770 -0.13110 -0.13378 -0.13565 -0.13662 -0.13659 -0.13551 -0.13332 -0.12999 -0.12549 -0.11985 -0.11307 -0.10520 -0.09629 -0.08635 -0.07541 -0.06340 -0.05019 -0.03548 -0.01874 0.00086 0.02462 0.05440 0.09280 0.14323 0.20987 0.29733 0.40995 0.55037 0.71762 0.90467 0.93814 0.00000 
0.00517 -0.00517 -0.01474 -0.02368 -0.03209 -0.04009 -0.04775 -0.05514 -0.06233 -0.06936 -0.07626 -0.08305 -0.08974 -0.09631 -0.10276 -0.10904 -0.11510 -0.12087 -0.12629 -0.13124 -0.13564 -0.13938 -0.14234 -0.14442 -0.14549 -0.14548 -0.14428 -0.14184 -0.13810 -0.13305 -0.12668 -0.11901 -0.11007 -0.09992 -0.08858 -0.07606 -0.06231 -0.04719 -0.03041 -0.01144 0.01054 0.03681 0.06916 0.11010 0.16284 0.23125 0.31949 0.43132 0.56878 0.73046 0.90942 0.93498 0.00000 
0.00546 -0.00546 -0.01553 -0.02490 -0.03369 -0.04204 -0.05002 -0.05773 -0.06522 -0.07256 -0.07979 -0.08692 -0.09397 -0.10093 -0.10778 -0.11448 -0.12098 -0.12719 -0.13305 -0.13844 -0.14325 -0.14735 -0.15063 -0.15294 -0.15417 -0.15420 -0.15292 -0.15025 -0.14614 -0.14055 -0.13346 -0.12491 -0.11491 -0.10352 -0.09077 -0.07667 -0.06118 -0.04417 -0.02534 -0.00419 0.02011 0.04878 0.08357 0.12687 0.18169 0.25163 0.34043 0.45133 0.58585 0.74225 0.91374 0.93209 0.00000 
0.00571 -0.00572 -0.01621 -0.02595 -0.03507 -0.04371 -0.05197 -0.05995 -0.06772 -0.07534 -0.08287 -0.09032 -0.09772 -0.10505 -0.11229 -0.11942 -0.12635 -0.13303 -0.13934 -0.14519 -0.15043 -0.15494 -0.15857 -0.16117 -0.16260 -0.16271 -0.16139 -0.15855 -0.15410 -0.14800 -0.14023 -0.13081 -0.11977 -0.10715 -0.09300 -0.07734 -0.06013 -0.04125 -0.02041 0.00289 0.02943 0.06041 0.09751 0.14300 0.19973 0.27099 0.36016 0.47002 0.60166 0.75308 0.91767 0.92945 0.00000 
0.00592 -0.00593 -0.01677 -0.02681 -0.03620 -0.04508 -0.05357 -0.06177 -0.06978 -0.07766 -0.08545 -0.09320 -0.10092 -0.10861 -0.11624 -0.12378 -0.13116 -0.13830 -0.14510 -0.15142 -0.15714 -0.16209 -0.16612 -0.16905 -0.17072 -0.17098 -0.16968 -0.16671 -0.16197 -0.15541 -0.14700 -0.13676 -0.12470 -0.11089 -0.09537 -0.07817 -0.05927 -0.03854 -0.01573 0.00966 0.03837 0.07157 0.11087 0.15841 0.21687 0.28927 0.37866 0.48741 0.61626 0.76299 0.92122 0.92703 0.00000 
0.00609 -0.00609 -0.01720 -0.02747 -0.03705 -0.04611 -0.05478 -0.06317 -0.07137 -0.07946 -0.08749 -0.09550 -0.10352 -0.11155 -0.11956 -0.12751 -0.13534 -0.14295 -0.15024 -0.15707 -0.16328 -0.16872 -0.17319 -0.17650 -0.17848 -0.17895 -0.17773 -0.17469 -0.16974 -0.16278 -0.15380 -0.14278 -0.12977 -0.11481 -0.09796 -0.07926 -0.05870 -0.03617 -0.01143 0.01599 0.04680 0.08213 0.12352 0.17299 0.23303 0.30644 0.39593 0.50353 0.62967 0.77202 0.92440 0.92482 0.00000 
0.00620 -0.00620 -0.01749 -0.02790 -0.03761 -0.04680 -0.05559 -0.06411 -0.07245 -0.08071 -0.08894 -0.09719 -0.10548 -0.11382 -0.12219 -0.13054 -0.13880 -0.14689 -0.15468 -0.16204 -0.16878 -0.17474 -0.17970 -0.18346 -0.18581 -0.18654 -0.18549 -0.18247 -0.17737 -0.17010 -0.16061 -0.14890 -0.13499 -0.11895 -0.10083 -0.08068 -0.05852 -0.03424 -0.00763 0.02175 0.05460 0.09197 0.13535 0.18662 0.24813 0.32242 0.41192 0.51836 0.64191 0.78016 0.92722 0.92282 0.00000 
0.00625 -0.00625 -0.01763 -0.02810 -0.03787 -0.04711 -0.05596 -0.06456 -0.07300 -0.08138 -0.08977 -0.09822 -0.10675 -0.11537 -0.12407 -0.13280 -0.14149 -0.15005 -0.15835 -0.16624 -0.17354 -0.18005 -0.18555 -0.18981 -0.19260 -0.19369 -0.19288 -0.18998 -0.18483 -0.17735 -0.16745 -0.15513 -0.14042 -0.12337 -0.10406 -0.08255 -0.05884 -0.03289 -0.00447 0.02681 0.06162 0.10096 0.14623 0.19921 0.26206 0.33713 0.42658 0.53187 0.65296 0.78741 0.92967 0.92101 0.00000 
